model,term,IRR,lo,hi,p
Female,z_lights,1.053304197197874,1.0079162085565763,1.1007360754952902,0.020840169853759305
Female,z_vacant,1.0280422555868534,0.9878651574525321,1.0698533816067795,0.1739138739556881
Female,z_pavement,0.8267880198331813,0.7942564855865603,0.8606519961053244,1.5840933058392515e-20
Female,z_subway_d,0.9872764825736796,0.9208750192222969,1.0584659510757817,0.7184947058086786
Female,z_subway_n,1.45919663119847,1.3590580721348868,1.5667136321527508,2.0529607767197823e-25
Female,z_dv_d,1.0266433748745107,0.9833636851041346,1.0718278853892298,0.23147291241934398
Female,z_facils,1.345308965152991,1.2807035052557258,1.4131734662189641,3.3315525086770116e-32
Female,z_disadv,1.0559955388204352,1.0137966481041158,1.0999509419310478,0.008830528789423421
Male,z_lights,1.032680149691565,0.9899546013417215,1.0772496941997383,0.13578482929250776
Male,z_vacant,1.0043126238078062,0.9664371665424605,1.043672450996746,0.8263320332445938
Male,z_pavement,0.792497469992533,0.7624431500797876,0.823736484325214,4.3795088934989183e-32
Male,z_subway_d,0.9111574624022736,0.851984965091368,0.974439638382959,0.006611551694075287
Male,z_subway_n,1.5203623308514929,1.4195831938316779,1.6282959865374838,4.950544349825154e-33
Male,z_dv_d,1.005303854265508,0.9643943074503879,1.0479487815237611,0.802924945037973
Male,z_facils,1.2391757962768941,1.1822286725326356,1.2988660229234,4.0977032011493795e-19
Male,z_disadv,1.0467819237999805,1.0063777830762122,1.0888082133977393,0.022812543587787875
