predictor,importance
z_subway_n,0.003425511911367053
z_disadv,0.0016627038046127572
y,0.0016163742419928386
x,8.742299845120892e-4
z_facils,8.470027165504698e-4
z_dv_d,8.219354571717047e-4
z_lights,8.048972236167307e-4
z_pavement,-1.854023699832749e-4
z_vacant,-7.114119102166922e-4
z_subway_d,-0.0024869796399112094
