model,term,IRR,lo,hi,p
lighting x night x sex,z_lights,1.0620110688926998,1.0172573194787569,1.1087337381150864,0.0061641405625248976
lighting x night x sex,z_lights:periodnight,1.0534940685508183,0.9926124031331705,1.1181098976483945,0.08618900394642016
lighting x night x sex,z_lights:sexF,1.0224516298360549,0.9629819096037516,1.085593950341777,0.4676988244652389
lighting x night x sex,z_lights:periodnight:sexF,0.92854831042651,0.8527849863529606,1.0110426175339209,0.08780200078316108
