model,term,IRR,lo,hi,p
sex-interaction,z_lights,1.0658118540558945,1.031740322074705,1.1010085425001084,1.2053944181765228e-4
sex-interaction,z_vacant,1.0151902231596432,0.9860217493156962,1.0452215581595186,0.31077986253448253
sex-interaction,z_pavement,0.7964796362943797,0.7731623159499877,0.8205001691684394,6.251499406070177e-51
sex-interaction,z_subway_d,0.5819335507322598,0.5633644465353481,0.6011147127769756,7.728431895414263e-235
sex-interaction,z_dv_d,0.9158896865055777,0.8886676606125843,0.9439455884655903,1.1477647981780454e-8
sex-interaction,z_disadv,0.9906271155027411,0.969772112185438,1.011930606828618,0.38567793278290363
sex-interaction,z_lights:sexF,1.031559314174009,0.9847598935037524,1.080582815850732,0.1896261214122437
sex-interaction,z_vacant:sexF,1.035873423195898,0.9938037943820165,1.0797239404291463,0.0956796710687747
sex-interaction,z_pavement:sexF,1.0555024798676542,1.0117355097690723,1.1011627784627789,0.012420315414476907
sex-interaction,z_subway_d:sexF,1.118072963766868,1.067921984321633,1.1705790972179586,1.8735152033541338e-6
sex-interaction,z_dv_d:sexF,0.9911663925214447,0.9495049528576465,1.034655811649317,0.6854874966252691
