predictor,VIF
z_lights,1.2158669284702532
z_vacant,1.05788624223993
z_pavement,1.0529654032321496
z_subway_d,3.145159816673034
z_subway_n,3.3233946892663875
z_dv_d,1.248271531597424
z_facils,1.523524804774058
z_disadv,1.0987485227926947
